OTUID	SA118VXL	SA001V3L	SA002V1R	SA008V3R	SA009V3R	SA016V3R	SA024V3L	SA053V1R	SA055V3R	SA056V1R	SA057V1R	SA058V1L	SA064V5L	SA066V1R	SA069V3R	SA074V1R	SA076V1R	SA071VXR	SA077V1R	SA078V1R	SA081V1L	SA082V1R	SA087V1L	SA088V3L	SA094V1L	SA096V1R	SA091V1R	SA100V1L	SA101V1L	SA098V1L	SA104V1L	SA105V1L	SA106V1L	SA112V1R	SA115V1L	SA116V1L	SA120V1L	SA122V1L	SA123V1L	SA125V1L	SA126V1L	SA130V1R	SA132VXR	SA133V1R	SA135V1R	SA140V1R	SA141V1R	SA142V1L	SA143V1R	SA144V1L	SA145V1L	SA146V1L	SA147V1L	SA148V1L	SA121VXL	SA138V1R	SA114VXR	SA070V1L	SA084V1L	SA039V5L	SA109V1R	SA127V1L
New.CleanUp.ReferenceOTU7484	5	0	0	0	0	0	0	0	0	0	0	4	0	0	7	0	0	0	0	4	0	0	0	0	0	1	0	1	1	0	0	0	0	0	5	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
New.CleanUp.ReferenceOTU76711	2	2	0	0	0	0	0	0	1	0	3	1	0	0	9	2	0	0	1	3	0	0	0	0	0	0	1	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	21	0
New.CleanUp.ReferenceOTU15799	0	0	0	0	0	0	0	6	11	0	0	5	0	0	0	2	0	0	0	6	18	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	2	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New.ReferenceOTU266	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	72	0	0	0	0	5	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	19	0	0	0	17	0	0	0	15	2	0	0	0	0	0	0
New.CleanUp.ReferenceOTU19793	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
828676	6	0	0	0	0	0	0	0	62	0	9	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1023	0	0	0	0	0	0	2	0	2	52	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
368299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	1	0	0	0	0	0	4	0	0	1	0	0	0	0	8	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
938948	11	1	0	0	4	5	0	17	389	3	0	21	0	12	164	44	0	0	39	72	33	5	3	0	0	8	0	8	205	0	27	1	0	14	6	162	8	1	1	7	18	6	4	764	20	48	24	0	152	19	7	3	1	17	26	13	0	2	0	0	1	0
545299	49	0	0	0	0	0	0	2	11	1	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	51	11	0	0	0	0	1	0	31	0	0	1	0	0	0	0	6	0	1	0	0	0	0	0	0	2	0
572237	34	41	2	26	13	14	1	1763	563	6	4	16	9	41	10	157	6	1	0	303	364	29	13	0	4	84	0	4	106	0	13	5	1	17	18	41	6	20	3	26	0	18	17	787	10	58	55	0	151	58	24	0	16	0	0	1	0	6	0	5	55	1
