cn,ID
k__Bacteria..p__.Thermi...c__Deinococci..o__Deinococcales..f__Deinococcaceae..g__Deinococcus..s__,V1
k__Bacteria..p__.Thermi...c__Deinococci..o__Deinococcales..f__Trueperaceae..g__Truepera..s__,V2
k__Bacteria..p__Acidobacteria..c__.Chloracidobacteria...o__RB41..f__Ellin6075..g__..s__,V3
k__Bacteria..p__Acidobacteria..c__Acidobacteriia..o__Acidobacteriales..f__Acidobacteriaceae..g__..s__,V4
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales,V5
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__..g__..s__,V6
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Actinomycetaceae,V7
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Actinomycetaceae..g__..s__,V8
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Actinomycetaceae..g__Actinomyces..s__,V9
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Actinomycetaceae..g__Actinomyces..s__europaeus,V10
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Actinomycetaceae..g__Arcanobacterium..s__,V11
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Actinomycetaceae..g__Mobiluncus..s__,V12
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Actinomycetaceae..g__Varibaculum..s__,V13
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Brevibacteriaceae..g__Brevibacterium..s__,V14
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Brevibacteriaceae..g__Brevibacterium..s__aureum,V15
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Cellulomonadaceae,V16
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Cellulomonadaceae..g__Cellulomonas..s__,V17
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Corynebacteriaceae..g__Corynebacterium,V18
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Corynebacteriaceae..g__Corynebacterium..s__,V19
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Corynebacteriaceae..g__Corynebacterium..s__durum,V20
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Corynebacteriaceae..g__Corynebacterium..s__variabile,V21
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Dermabacteraceae,V22
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Dermabacteraceae..g__Brachybacterium..s__,V23
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Dermabacteraceae..g__Brachybacterium..s__conglomeratum,V24
