cn,ID
f__.Exiguobacteraceae..g__,V1
f__.Exiguobacteraceae..g__Exiguobacterium,V2
f__.Mogibacteriaceae..g__,V3
f__.Mogibacteriaceae..g__Mogibacterium,V4
f__.Paraprevotellaceae..g__.Prevotella.,V5
f__.Tissierellaceae..g__1.68,V6
f__.Tissierellaceae..g__Anaerococcus,V7
f__.Tissierellaceae..g__Finegoldia,V8
f__.Tissierellaceae..g__Gallicola,V9
f__.Tissierellaceae..g__GW.34,V10
f__.Tissierellaceae..g__Parvimonas,V11
f__.Tissierellaceae..g__Peptoniphilus,V12
f__.Tissierellaceae..g__ph2,V13
f__.Tissierellaceae..g__WAL_1855D,V14
f__.Weeksellaceae..g__,V15
f__.Weeksellaceae..g__Chryseobacterium,V16
f__.Weeksellaceae..g__Cloacibacterium,V17
f__.Weeksellaceae..g__Wautersiella,V18
f__Acetobacteraceae.g__,V19
f__Acetobacteraceae.g__Roseomonas,V20
f__Acidobacteriaceae.g__,V21
f__Actinomycetaceae.g__,V22
f__Actinomycetaceae.g__Actinomyces,V23
f__Actinomycetaceae.g__Arcanobacterium,V24
f__Actinomycetaceae.g__Mobiluncus,V25
f__Actinomycetaceae.g__Varibaculum,V26
f__Aerococcaceae.g__,V27
f__Aerococcaceae.g__Abiotrophia,V28
f__Aerococcaceae.g__Aerococcus,V29
f__Aerococcaceae.g__Alloiococcus,V30
f__Aerococcaceae.g__Facklamia,V31
f__Aerococcaceae.g__Marinilactibacillus,V32
f__Aeromonadaceae.g__,V33
f__Alcaligenaceae.g__,V34
f__Alcaligenaceae.g__Achromobacter,V35
f__Alcaligenaceae.g__Sutterella,V36
f__Aurantimonadaceae.g__,V37
f__Bacillaceae.g__,V38
f__Bacillaceae.g__Anoxybacillus,V39
f__Bacillaceae.g__Bacillus,V40
f__Bacillaceae.g__Geobacillus,V41
f__Bacteroidaceae.g__Bacteroides,V42
f__Bartonellaceae.g__,V43
f__Bifidobacteriaceae.g__,V44
f__Bifidobacteriaceae.g__Bifidobacterium,V45
f__Bradyrhizobiaceae.g__,V46
f__Bradyrhizobiaceae.g__Balneimonas,V47
f__Brevibacteriaceae.g__Brevibacterium,V48
f__Brucellaceae.g__,V49
f__Brucellaceae.g__Ochrobactrum,V50
f__Burkholderiaceae.g__Burkholderia,V51
f__Burkholderiaceae.g__Lautropia,V52
f__Campylobacteraceae.g__Campylobacter,V53
f__Cardiobacteriaceae.g__Cardiobacterium,V54
f__Carnobacteriaceae.g__Carnobacterium,V55
f__Carnobacteriaceae.g__Desemzia,V56
f__Carnobacteriaceae.g__Granulicatella,V57
f__Caulobacteraceae.g__,V58
f__Caulobacteraceae.g__Brevundimonas,V59
f__Caulobacteraceae.g__Phenylobacterium,V60
f__Cellulomonadaceae.g__,V61
f__Cellulomonadaceae.g__Cellulomonas,V62
f__Chitinophagaceae.g__Flavisolibacter,V63
f__Clostridiaceae.g__,V64
f__Clostridiaceae.g__Clostridium,V65
f__Comamonadaceae.g__,V66
f__Comamonadaceae.g__Delftia,V67
f__Comamonadaceae.g__Tepidimonas,V68
f__Coriobacteriaceae.g__,V69
f__Coriobacteriaceae.g__Atopobium,V70
f__Corynebacteriaceae.g__Corynebacterium,V71
f__Cytophagaceae.g__Hymenobacter,V72
f__Deinococcaceae.g__Deinococcus,V73
f__Dermabacteraceae.g__,V74
f__Dermabacteraceae.g__Brachybacterium,V75
f__Dermabacteraceae.g__Dermabacter,V76
f__Dermacoccaceae.g__Dermacoccus,V77
f__Dethiosulfovibrionaceae.g__TG5,V78
f__Dietziaceae.g__,V79
f__Dietziaceae.g__Dietzia,V80
f__Ellin6075.g__,V81
f__Enterobacteriaceae.g__,V82
f__Enterobacteriaceae.g__Erwinia,V83
f__Enterococcaceae.g__Enterococcus,V84
f__Enterococcaceae.g__Vagococcus,V85
f__Erysipelotrichaceae.g__Bulleidia,V86
f__Erythrobacteraceae.g__,V87
f__F16.g__,V88
f__Flavobacteriaceae.g__Capnocytophaga,V89
f__Fusobacteriaceae.g__Fusobacterium,V90
f__Gemellaceae.g__,V91
f__Gemellaceae.g__Gemella,V92
f__Geodermatophilaceae.g__,V93
f__Geodermatophilaceae.g__Geodermatophilus,V94
f__Geodermatophilaceae.g__Modestobacter,V95
f__Gordoniaceae.g__Gordonia,V96
f__Halomonadaceae.g__Halomonas,V97
f__Hyphomicrobiaceae.g__Rhodoplanes,V98
f__Intrasporangiaceae.g__,V99
